s
# Pick a controller to configure
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
# Current settings:
# Pump on @ 40.950
# Pump off @ 0.000
# Pump A
# Hit return to leave a parameter unchanged
# Enter pump on (high) measurement(40.950): 6.1
# Enter pump off (low) measurement(0.000): 6.0
# Enter media pump (A): *
# (not updated)
# Current settings:
# Pump on @ 6.100
# Pump off @ 6.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
T	208	0.311	2	0	815.278
T	209	0.269	2	0	815.278
T	210	0.321	2	0	815.278
T	211	0.324	2	0	815.278
T	212	0.345	2	0	815.278
T	213	0.351	2	0	815.278
T	214	0.321	2	0	815.278
T	215	0.291	2	0	815.278
T	216	0.253	2	0	815.278
T	217	0.359	2	0	815.278
T	218	0.329	2	0	815.278
T	219	0.269	2	0	815.278
T	220	0.349	2	0	815.278
T	221	0.307	2	0	815.278
T	222	0.357	2	0	815.278
T	223	0.345	2	0	815.278
T	224	0.349	2	0	815.278
T	225	0.274	2	0	815.278
T	226	0.333	2	0	815.278
T	227	0.346	2	0	815.278
T	228	0.384	2	0	815.278
T	229	0.342	2	0	815.278
T	230	0.329	2	0	815.278
T	231	0.373	2	0	815.278
T	232	0.305	2	0	815.278
T	233	0.316	2	0	815.278
T	234	0.296	2	0	815.278
T	235	0.262	2	0	815.278
T	236	0.308	2	0	815.278
T	237	0.300	2	0	815.278
T	238	0.359	2	0	815.278
T	239	0.258	2	0	815.278
T	240	0.321	2	0	815.278
T	241	0.265	2	0	815.278
T	242	0.303	2	0	815.278
T	243	0.363	2	0	815.278
T	244	0.385	2	0	815.278
T	245	0.278	2	0	815.278
T	246	0.346	2	0	815.278
T	247	0.379	2	0	815.278
T	248	0.380	2	0	815.278
T	249	0.502	2	0	815.278
T	250	0.353	2	0	815.278
T	251	0.388	2	0	815.278
T	252	0.287	2	0	815.278
T	253	0.323	2	0	815.278
T	254	0.394	2	0	815.278
T	255	0.340	2	0	815.278
T	256	0.352	2	0	815.278
T	257	0.343	2	0	815.278
T	258	0.319	2	0	815.278
T	259	0.352	2	0	815.278
T	260	0.275	2	0	815.278
T	261	0.373	2	0	815.278
T	262	0.320	2	0	815.278
T	263	0.269	2	0	815.278
T	264	0.346	2	0	815.278
T	265	0.381	2	0	815.278
T	266	0.392	2	0	815.278
T	267	0.281	2	0	815.278
T	268	0.290	2	0	815.278
T	269	0.359	2	0	815.278
