# band-dsp-teensy manual [acghmpsz] > g
# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 3
# Current settings:
# Gain setting 5x (3)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	582.5	 3.281	5
M	583.0	 3.305	5
M	583.5	 3.269	5
M	584.0	 3.256	5
M	584.5	 3.230	5
M	585.0	 3.178	5
M	585.5	 3.071	5
M	586.0	 3.111	5
M	586.5	 3.258	5
M	587.0	 3.171	5
M	587.5	 3.242	5
M	588.0	 3.137	5
M	588.5	 3.152	5
M	589.0	 3.580	5
M	589.5	 3.215	5
M	590.0	 3.511	5
M	590.5	 3.284	5
M	591.0	 3.172	5
M	591.5	 3.070	5
M	592.0	 3.302	5
M	592.5	 3.360	5
M	593.0	 3.341	5
M	593.5	 3.096	5
M	594.0	 3.127	5
M	594.5	 3.258	5
M	595.0	 2.777	5
M	595.5	 3.317	5
M	596.0	 3.271	5
M	596.5	 3.014	5
M	597.0	 3.144	5
M	597.5	 3.201	5
M	598.0	 3.473	5
M	598.5	 3.070	5
M	599.0	 3.189	5
M	599.5	 3.212	5
M	600.0	 2.792	5
M	600.5	 3.020	5
M	601.0	 3.232	5
M	601.6	 3.253	5
M	602.1	 3.113	5
M	602.6	 2.975	5
M	603.1	 3.311	5
M	603.6	 3.353	5
M	604.1	 3.311	5
M	604.6	 3.034	5
M	605.1	 2.895	5
M	605.6	 2.950	5
M	606.1	 3.103	5
M	606.6	 3.149	5
M	607.1	 3.220	5
M	607.6	 3.052	5
M	608.1	 3.329	5
M	608.6	 3.312	5
M	609.1	 2.766	5
M	609.6	 2.995	5
M	610.1	 3.030	5
M	610.6	 2.745	5
M	611.1	 2.987	5
M	611.6	 3.291	5
M	612.1	 2.935	5
M	612.6	 3.251	5
M	613.1	 2.982	5
M	613.6	 2.778	5
M	614.1	 2.857	5
M	614.6	 2.663	5
M	615.1	 2.706	5
M	615.6	 2.826	5
M	616.1	 2.987	5
M	616.6	 3.062	5
M	617.1	 3.233	5
M	617.6	 3.147	5
M	618.1	 3.061	5
M	618.6	 3.089	5
M	619.1	 3.027	5
M	619.6	 2.869	5
M	620.1	 2.982	5
M	620.6	 2.686	5
M	621.1	 2.980	5
M	621.6	 2.769	5
M	622.1	 2.832	5
M	622.6	 2.983	5
M	623.1	 3.017	5
M	623.6	 2.822	5
M	624.1	 2.812	5
M	624.6	 2.598	5
M	625.1	 2.729	5
M	625.6	 2.871	5
M	626.1	 2.676	5
M	626.7	 2.930	5
M	627.2	 2.990	5
M	627.7	 2.886	5
M	628.2	 2.565	5
M	628.7	 2.805	5
M	629.2	 2.713	5
M	629.7	 2.859	5
M	630.2	 2.708	5
M	630.7	 2.789	5
M	631.2	 2.935	5
M	631.7	 2.791	5
M	632.2	 2.703	5
M	632.7	 2.602	5
M	633.2	 2.593	5
M	633.7	 2.933	5
M	634.2	 2.678	5
M	634.7	 2.553	5
M	635.2	 2.992	5
M	635.7	 2.702	5
M	636.2	 2.647	5
M	636.7	 2.869	5
M	637.2	 2.652	5
M	637.7	 2.588	5
M	638.2	 2.808	5
M	638.7	 2.691	5
M	639.2	 2.593	5
M	639.7	 2.612	5
M	640.2	 2.686	5
M	640.7	 2.813	5
M	641.2	 2.748	5
M	641.7	 2.709	5
