# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 
# (not updated)
# Current settings:
# Gain setting 2x (1)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	259.9	 0.768	2
M	260.4	 0.724	2
M	260.9	 0.701	2
M	261.4	 0.718	2
M	261.9	 0.641	2
M	262.4	 0.726	2
M	262.9	 0.799	2
M	263.4	 0.772	2
M	263.9	 0.665	2
M	264.4	 0.672	2
M	264.9	 0.685	2
M	265.4	 0.815	2
M	265.9	 0.700	2
M	266.4	 0.754	2
M	266.9	 0.791	2
M	267.4	 0.636	2
M	267.9	 0.711	2
M	268.4	 0.770	2
M	268.9	 0.706	2
M	269.4	 0.784	2
M	269.9	 0.775	2
M	270.4	 0.687	2
M	270.9	 0.731	2
M	271.4	 0.684	2
M	271.9	 0.657	2
M	272.4	 0.712	2
M	272.9	 0.703	2
M	273.4	 0.693	2
M	273.9	 0.725	2
M	274.4	 0.803	2
M	274.9	 0.719	2
M	275.4	 0.693	2
M	276.0	 0.648	2
M	276.5	 0.678	2
M	277.0	 0.729	2
M	277.5	 0.731	2
M	278.0	 0.668	2
M	278.5	 0.734	2
M	279.0	 0.812	2
M	279.5	 0.791	2
M	280.0	 0.785	2
M	280.5	 0.723	2
M	281.0	 0.765	2
M	281.5	 0.775	2
M	282.0	 0.684	2
M	282.5	 0.726	2
M	283.0	 0.799	2
M	283.5	 0.670	2
M	284.0	 0.808	2
M	284.5	 0.636	2
M	285.0	 0.807	2
M	285.5	 0.711	2
M	286.0	 0.743	2
M	286.5	 0.781	2
M	287.0	 0.676	2
M	287.5	 0.724	2
M	288.0	 0.730	2
M	288.5	 0.793	2
M	289.0	 0.800	2
M	289.5	 0.691	2
M	290.0	 0.726	2
M	290.5	 0.690	2
M	291.0	 0.813	2
M	291.5	 0.677	2
M	292.0	 0.730	2
M	292.5	 0.775	2
M	293.0	 0.708	2
M	293.5	 0.679	2
M	294.0	 0.789	2
M	294.5	 0.711	2
M	295.0	 0.749	2
M	295.5	 0.662	2
M	296.0	 0.763	2
M	296.5	 0.715	2
M	297.0	 0.777	2
M	297.5	 0.655	2
M	298.0	 0.734	2
M	298.5	 0.777	2
M	299.0	 0.823	2
M	299.5	 0.766	2
M	300.0	 0.748	2
M	300.5	 0.732	2
M	301.1	 0.739	2
M	301.6	 0.736	2
M	302.1	 0.715	2
M	302.6	 0.656	2
M	303.1	 0.679	2
M	303.6	 0.802	2
M	304.1	 0.719	2
M	304.6	 0.715	2
M	305.1	 0.735	2
M	305.6	 0.744	2
M	306.1	 0.769	2
M	306.6	 0.668	2
M	307.1	 0.726	2
M	307.6	 0.759	2
M	308.1	 0.680	2
M	308.6	 0.657	2
M	309.1	 0.706	2
M	309.6	 0.675	2
M	310.1	 0.647	2
M	310.6	 0.715	2
M	311.1	 0.684	2
M	311.6	 0.627	2
M	312.1	 0.771	2
M	312.6	 0.757	2
M	313.1	 0.681	2
M	313.6	 0.774	2
M	314.1	 0.651	2
M	314.6	 0.820	2
M	315.1	 0.727	2
M	315.6	 0.738	2
M	316.1	 0.682	2
M	316.6	 0.758	2
M	317.1	 0.709	2
M	317.6	 0.672	2
M	318.1	 0.792	2
M	318.6	 0.758	2
M	319.1	 0.650	2
M	319.6	 0.644	2
M	320.1	 0.744	2
M	320.6	 0.806	2
M	321.1	 0.682	2
M	321.6	 0.753	2
M	322.1	 0.656	2
M	322.6	 0.737	2
M	323.1	 0.787	2
M	323.6	 0.741	2
M	324.1	 0.682	2
M	324.6	 0.778	2
M	325.1	 0.667	2
M	325.6	 0.668	2
M	326.2	 0.725	2
M	326.7	 0.800	2
M	327.2	 0.660	2
M	327.7	 0.807	2
M	328.2	 0.672	2
M	328.7	 0.688	2
M	329.2	 0.650	2
M	329.7	 0.705	2
M	330.2	 0.778	2
M	330.7	 0.762	2
M	331.2	 0.677	2
M	331.7	 0.737	2
M	332.2	 0.768	2
M	332.7	 0.620	2
M	333.2	 0.776	2
M	333.7	 0.795	2
M	334.2	 0.791	2
M	334.7	 0.662	2
M	335.2	 0.769	2
M	335.7	 0.713	2
M	336.2	 0.738	2
M	336.7	 0.782	2
M	337.2	 0.685	2
M	337.7	 0.677	2
M	338.2	 0.694	2
M	338.7	 0.714	2
M	339.2	 0.654	2
M	339.7	 0.756	2
M	340.2	 0.709	2
M	340.7	 0.706	2
M	341.2	 0.717	2
M	341.7	 0.633	2
M	342.2	 0.705	2
M	342.7	 0.749	2
M	343.2	 0.730	2
M	343.7	 0.802	2
M	344.2	 0.666	2
M	344.7	 0.651	2
M	345.2	 0.681	2
M	345.7	 0.677	2
M	346.2	 0.658	2
M	346.7	 0.637	2
M	347.2	 0.705	2
M	347.7	 0.789	2
